API,API,
About,Hakkında,
Action,İşlem,
Add Weekly Holidays,Haftalık Tatilleri Ekle,
Add to Holidays,Tatillere Ekle,
Additional Information,Ekle Bilgi,
Administrator,Yönetici,
Agent,Temsilci,
Agents,Temsilciler,
All,Tümü,
Apply SLA for Resolution Time,Çözüm Süresi için SLA'yı Uygulayın,
Apply To,Uygulanan,
Apps,Uygulamalar,
Archived,Arşivlendi,
Assign to me,Bana Ata,
Assigned To,Atama,
Assignment,Atama,
Assignment Conditions,Atama Koşulları,
Assignment Rule,Atama Kuralı,
Assignment Rules,Atama Kuralları,
Attachment,Belge Eki,
Author,Yazar,
Average Response Time,Ortalama Yanıt Süresi,
Base URL,Ana URL,
Based On,Buna göre,
"Based on your HR Policy, select your leave allocation period's end date",İnsan Kaynakları Politikanıza göre izin tahsis döneminizin bitiş tarihini seçin,
"Based on your HR Policy, select your leave allocation period's start date",İnsan Kaynakları Politikanıza göre izin tahsis döneminizin bitiş tarihini seçin,
Black,Siyah,
Blue,Mavi,
Button,Buton,
Call Details,Çağrı Ayrıntıları,
Category,Kategori,
Clear Table,Tabloyu Temizle,
Click on Add to Holidays. This will populate the holidays table with all the dates that fall on the selected weekly off. Repeat the process for populating the dates for all your weekly holidays,"Tatillere Ekle'ye tıklayın. Bu işlem, tatiller tablosunu seçilen haftalık izin gününe denk gelen tüm tarihlerle dolduracaktır. Tüm haftalık tatillerinizin tarihlerini doldurmak için işlemi tekrarlayın",
Close,Kapat,
Color,Renk,
Columns,Sütunlar,
Comment,Yorum,
Condition,Koşul,
Contact,Kişi,
Contact HTML,İletişim HTML'si,
Contacts,Kişiler,
Content,İçerik,
Content Type,İçerik Türü,
Created By,Oluşturan,
Created On,Oluşturulma Zamanı,
Customer,Müşteri,
Customer Name,Müşteri Adı,
Cyan,Açık Mavi,
Date,Tarih,
Default Priority,Varsayılan Öncelik,
Description,Açıklama,
Details,Ayrıntılar,
Disabled,Kapalı,
DocType,DocType,
Domain,Domain,
Draft,Taslak,
Duplicate,Kopyala,
Duration,Süre,
Email,E-posta,
Email Account,E-posta Hesabı,
Enabled,Etkin,
End Date,Bitiş Tarihi,
End Time,Bitiş Zamanı,
Error while connecting to email account {0},E-posta hesabına bağlanırken hata oluştu {0},
Failed,Başarısız,
Feedback,Geri Bildirim,
Feedback ,Geri Bildirim ,
Fields,Alanlar,
Filters,Filtreler,
First Responded On,İlk Yanıt Tarihi,
First Response Due,İlk Müdahale Zamanı,
First Response Time,İlk Müdahale Süresi,
Form,Form,
Frappe Support,Frappe Desteği,
